Name,Pos,Total,Url
Tinashe,255,"274,960,581",artist/0NIIxcxNHmOoyBx03SfTCD.html
DJ Luian,256,"270,704,555",artist/64aJYyrXljOodnUG6jvhRD.html
Fall Out Boy,257,"270,458,385",artist/4UXqAaa6dQYAk18Lv7PEgX.html
Usher,258,"269,595,187",artist/23zg3TcAtWQy7J6upgbUnj.html
Boef,259,"267,439,004",artist/0Jsk5iYMr5aNjHury7blm1.html
Cosculluela,260,"266,692,413",artist/00me4Ke1LsvMxt5kydlMyU.html
Arctic Monkeys,261,"265,375,149",artist/7Ln80lUS6He07XvHI8qqHH.html
Jon Bellion,262,"264,229,860",artist/50JJSqHUf2RQ9xsHs0KMHg.html
Lookas,263,"262,806,793",artist/27fy6rHPC58Eo2VUu0iJSG.html
Skylar Grey,264,"261,156,314",artist/4utLUGcTvOJFr6aqIJtYWV.html
Vassy,265,"260,456,313",artist/7HqEmV7FeCi16bQyHMpIrF.html
Chino & Nacho,266,"259,665,182",artist/5NS0854TqZQVoRmJKSWtFZ.html
Milky Chance,267,"257,199,269",artist/1hzfo8twXdOegF3xireCYs.html
Lana Del Rey,268,"253,265,604",artist/00FQb4jTyendYWaN8pK0wa.html
Skip Marley,269,"252,964,164",artist/4ryoUS0W8qXokfMxrlJt6O.html
Snoop Dogg,270,"252,146,421",artist/7hJcb9fa4alzcOq3EaNPoG.html
Steve Aoki,271,"251,758,860",artist/77AiFEVeAVj2ORpC85QVJs.html
BIA,272,"251,433,887",artist/6veh5zbFpm31XsPdjBgPER.html
Aminé,273,"251,090,637",artist/3Gm5F95VdRxW3mqCn8RPBJ.html
Sky,274,"250,800,679",artist/4nkGTHzKGUsL7WjpaKLEDm.html
Maiara & Maraisa,275,"250,173,103",artist/59jlthNnbmim5l9tmNA7se.html
Marc E. Bassy,276,"248,805,220",artist/3tQx1LPXbsYjE9VwN1Peaa.html
Joel Adams,277,"248,123,624",artist/36jaGQtMj5UWD0eO1fCVdD.html
Years & Years,278,"247,084,708",artist/5vBSrE1xujD2FXYRarbAXc.html
Lauv,279,"246,467,792",artist/5JZ7CnR6gTvEMKX4g70Amv.html
P!nk,280,"245,085,175",artist/1KCSPY1glIKqW2TotWuXOR.html
Banda Sinaloense MS de Sergio Lizárraga,281,"244,041,561",artist/2C6i0I5RiGzDKN9IAF8reh.html
Becky G,282,"240,808,761",artist/4obzFoKoKRHIphyHzJ35G3.html
Romeo Santos,283,"240,648,887",artist/5lwmRuXgjX8xIwlnauTZIP.html
AJR,284,"240,470,953",artist/6s22t5Y3prQHyaHWUN1R1C.html
George Ezra,285,"240,306,159",artist/2ysnwxxNtSgbb9t1m2Ur4j.html
Reik,286,"238,883,481",artist/0vR2qb8m9WHeZ5ByCbimq2.html
A Boogie Wit da Hoodie,287,"236,615,100",artist/31W5EY0aAly4Qieq6OFu6I.html
Kent Jones,288,"236,493,302",artist/3jHBxvZ9gbBkZ17wKUqVsO.html
