,Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.85) + residual,Explained constant
120,Armenia,4.375999927520752,4.466734612286091,4.285265242755413,0.9005967378616333,1.007483720779419,0.637524425983429,0.19830326735973358,0.0834880918264389,0.0266744215041399,1.5214991569519043,1
121,India,4.315000057220459,4.371522017493844,4.258478096947074,0.7922212481498718,0.7543725967407227,0.4554276168346405,0.46998700499534607,0.23153848946094513,0.09222688525915146,1.5191171169281006,1
122,Mauritania,4.291999816894531,4.377163616269827,4.206836017519236,0.6484572887420654,1.2720308303833008,0.2853492796421051,0.09609804302453995,0.20187002420425415,0.13695700466632843,1.651637315750122,1
123,Congo (Brazzaville),4.290999889373779,4.410053505003452,4.171946273744107,0.8089642524719238,0.8320443630218506,0.2899574339389801,0.4350258708000183,0.12085212767124176,0.07961813360452652,1.7241356372833252,1
124,Georgia,4.285999774932861,4.374933965802192,4.19706558406353,0.9506126642227173,0.5706149339675903,0.6495469808578491,0.309410035610199,0.05400881543755531,0.2516666352748871,1.5001378059387207,1
125,Congo (Kinshasa),4.28000020980835,4.357810832709074,4.202189586907625,0.09210234880447388,1.2290234565734863,0.19140702486038208,0.23596134781837463,0.2464558333158493,0.06024135649204254,2.224958658218384,1
126,Mali,4.190000057220459,4.269670711010694,4.110329403430224,0.4761804938316345,1.2814733982086182,0.16936567425727844,0.3066137433052063,0.1833541989326477,0.10497024655342102,1.6681909561157227,1
127,Ivory Coast,4.179999828338623,4.275182563215494,4.084817093461752,0.6030489206314087,0.9047800302505493,0.04864216968417168,0.4477061927318573,0.20123746991157532,0.1300617754459381,1.8449642658233643,1
128,Cambodia,4.168000221252441,4.278517813533544,4.057482628971338,0.6017650961875916,1.006238341331482,0.4297834038734436,0.6333758234977722,0.38592296838760376,0.06810595095157623,1.0429410934448242,1
129,Sudan,4.138999938964844,4.3457471650838855,3.9322527128458025,0.6595166921615601,1.2140085697174072,0.29092082381248474,0.014995855279266834,0.18231745064258575,0.08984751999378204,1.687065839767456,1
130,Ghana,4.119999885559082,4.222707208544016,4.0172925625741485,0.6672248244285583,0.8736647367477417,0.29563772678375244,0.42302629351615906,0.25692394375801086,0.0253363698720932,1.5778675079345703,1
131,Ukraine,4.0960001945495605,4.185410104542971,4.00659028455615,0.8946519494056702,1.3945375680923462,0.5759039521217346,0.12297477573156357,0.2700614631175995,0.023029470816254616,0.8143823146820068,1
132,Uganda,4.080999851226807,4.195799967050553,3.9661997354030607,0.3814307153224945,1.1298277378082275,0.21763260662555695,0.443185955286026,0.32576605677604675,0.05706971883773804,1.526362657546997,1
